,0,1,2
0,6.633333333333334,6.7,4.683333333333333
1,7.433333333333334,7.733333333333333,5.196774193548387
2,7.811111111111111,8.766666666666667,6.044827586206897
3,8.477777777777778,9.8,8.2
4,9.3,9.966666666666667,6.8578947368421055
5,9.3,10.133333333333335,8.123728813559321
6,9.201639344262295,10.3,8.2
7,8.623728813559321,9.6,8.533333333333333
8,8.2,8.9,7.7
9,8.033333333333333,8.2,7.2
10,7.2,7.366666666666666,6.783333333333333
11,7.019672131147541,6.533333333333333,7.033333333333333
12,6.013559322033898,5.7,6.7
13,5.00983606557377,5.866666666666667,7.2
14,4.609633911368015,6.033333333333333,7.2
15,4.667437379576108,6.2,6.2
16,4.7252408477842,6.033333333333333,7.116666666666667
17,4.783044315992292,5.866666666666667,6.433333333333334
18,4.840847784200385,5.7,5.1
19,4.898651252408477,5.166666666666667,4.933333333333333
20,4.95645472061657,4.633333333333333,4.183333333333333
21,5.0142581888246625,4.1,5.7
22,5.072061657032755,4.433333333333333,3.6
23,6.2,4.766666666666667,3.854237288135593
24,6.246296296296297,5.1,5.00983606557377
25,6.787301587301587,6.2,4.6
26,7.337931034482759,6.616666666666667,4.783333333333333
27,8.466666666666667,9.3,6.2
28,10.017391304347827,9.200000000000001,7.625
29,11.321739130434784,8.7,7.275
30,10.662068965517243,8.799999999999999,7.7
31,9.450000000000001,9.200000000000001,8.116666666666665
32,7.7,8.533333333333333,7.533333333333333
33,7.533333333333333,6.7,6.7
34,6.778125,6.783333333333333,7.280645161290323
35,7.146428571428571,7.116666666666667,7.493103448275862
36,6.433333333333334,6.7,6.2
37,5.449999999999999,6.366666666666667,5.283333333333333
38,7.284745762711864,6.033333333333333,6.0625
39,7.663414634146342,5.7,5.2375
40,7.463858093126386,6.9,4.683333333333333
41,7.2643015521064305,8.100000000000001,5.016666666666667
42,7.064745011086474,9.3,4.6
43,6.865188470066519,8.766666666666667,5.277777777777778
44,6.6656319290465635,8.233333333333334,6.344444444444444
45,6.466075388026608,7.7,6.7
46,6.266518847006652,7.56784140969163,6.783333333333333
47,6.2,7.43568281938326,7.030508474576271
48,6.283333333333333,7.30352422907489,7.2
49,6.533333333333333,6.885483870967742,6.9295081967213115
50,5.7,5.7,5.6
51,5.433333333333334,5.7,5.199999999999999
52,4.266666666666667,7.0,5.863934426229508
53,5.0242424242424235,7.694845360824742,6.852542372881356
54,4.564285714285714,8.2,7.2
55,4.1,5.911475409836066,6.016666666666667
56,4.016666666666667,4.671428571428571,4.683333333333333
57,3.6847457627118643,5.1,2.6
58,4.222222222222221,3.1782608695652175,3.9901098901098897
59,4.888888888888888,3.9608695652173913,3.330769230769231
60,4.933333333333333,5.1,3.6
61,4.42258064516129,4.933333333333333,3.35
62,3.6689655172413795,4.766666666666667,4.516666666666667
63,4.157906458797327,4.6,4.1
64,4.505345211581291,4.6,5.199999999999999
65,4.852783964365256,4.6,5.7
66,5.20022271714922,4.6,5.1
67,5.5476614699331845,6.166666666666667,3.2666666666666666
68,5.895100222717149,7.733333333333334,4.016666666666667
69,6.242538975501114,9.3,5.1
70,6.589977728285078,8.605263157894736,7.852542372881356
71,9.189830508474577,8.047560975609755,8.7
72,6.109836065573771,7.7,9.3
73,5.516666666666667,6.874137931034483,9.216666666666667
